player2,round,player1,gender,file,tournament,date
Anastasia Pavlyuchenkova,SF,Aryna Sabalenka,W,20210506-W-Madrid-SF-Aryna_Sabalenka-Anastasia_Pavlyuchenkova.html,Madrid,2021-05-06
Ashleigh Barty,F,Aryna Sabalenka,W,20210508-W-Madrid-F-Aryna_Sabalenka-Ashleigh_Barty.html,Madrid,2021-05-08
Sara Sorribes Tormo,R32,Aryna Sabalenka,W,20210512-W-Rome-R32-Aryna_Sabalenka-Sara_Sorribes_Tormo.html,Rome,2021-05-12
Coco Gauff,R16,Aryna Sabalenka,W,20210513-W-Rome-R16-Aryna_Sabalenka-Coco_Gauff.html,Rome,2021-05-13
Ana Konjuh,R128,Aryna Sabalenka,W,20210530-W-Roland_Garros-R128-Aryna_Sabalenka-Ana_Konjuh.html,Roland Garros,2021-05-30
Aliaksandra Sasnovich,R64,Aryna Sabalenka,W,20210602-W-Roland_Garros-R64-Aryna_Sabalenka-Aliaksandra_Sasnovich.html,Roland Garros,2021-06-02
Anastasia Pavlyuchenkova,R32,Aryna Sabalenka,W,20210604-W-Roland_Garros-R32-Aryna_Sabalenka-Anastasia_Pavlyuchenkova.html,Roland Garros,2021-06-04
Madison Keys,R16,Aryna Sabalenka,W,20210616-W-Berlin-R16-Aryna_Sabalenka-Madison_Keys.html,Berlin,2021-06-16
Bernarda Pera,R32,Aryna Sabalenka,W,20210622-W-Eastbourne-R32-Aryna_Sabalenka-Bernarda_Pera.html,Eastbourne,2021-06-22
Alison Riske Amritraj,R16,Aryna Sabalenka,W,20210623-W-Eastbourne-R16-Aryna_Sabalenka-Alison_Riske_Amritraj.html,Eastbourne,2021-06-23
Aryna Sabalenka,QF,Camila Giorgi,W,20210624-W-Eastbourne-QF-Camila_Giorgi-Aryna_Sabalenka.html,Eastbourne,2021-06-24
Monica Niculescu,R128,Aryna Sabalenka,W,20210628-W-Wimbledon-R128-Aryna_Sabalenka-Monica_Niculescu.html,Wimbledon,2021-06-28
Katie Boulter,R64,Aryna Sabalenka,W,20210630-W-Wimbledon-R64-Aryna_Sabalenka-Katie_Boulter.html,Wimbledon,2021-06-30
Camila Osorio,R32,Aryna Sabalenka,W,20210702-W-Wimbledon-R32-Aryna_Sabalenka-Camila_Osorio.html,Wimbledon,2021-07-02
Aryna Sabalenka,R16,Elena Rybakina,W,20210705-W-Wimbledon-R16-Elena_Rybakina-Aryna_Sabalenka.html,Wimbledon,2021-07-05
Ons Jabeur,QF,Aryna Sabalenka,W,20210706-W-Wimbledon-QF-Aryna_Sabalenka-Ons_Jabeur.html,Wimbledon,2021-07-06
Karolina Pliskova,SF,Aryna Sabalenka,W,20210708-W-Wimbledon-SF-Aryna_Sabalenka-Karolina_Pliskova.html,Wimbledon,2021-07-08
Magda Linette,R64,Aryna Sabalenka,W,20210725-W-Olympics-R64-Aryna_Sabalenka-Magda_Linette.html,Olympics,2021-07-25
Donna Vekic,R32,Aryna Sabalenka,W,20210726-W-Olympics-R32-Aryna_Sabalenka-Donna_Vekic.html,Olympics,2021-07-26
Sloane Stephens,R32,Aryna Sabalenka,W,20210811-W-Montreal-R32-Aryna_Sabalenka-Sloane_Stephens.html,Montreal,2021-08-11
Rebecca Marino,R16,Aryna Sabalenka,W,20210812-W-Montreal-R16-Aryna_Sabalenka-Rebecca_Marino.html,Montreal,2021-08-12
Victoria Azarenka,QF,Aryna Sabalenka,W,20210813-W-Montreal-QF-Aryna_Sabalenka-Victoria_Azarenka.html,Montreal,2021-08-13
Karolina Pliskova,SF,Aryna Sabalenka,W,20210814-W-Montreal-SF-Aryna_Sabalenka-Karolina_Pliskova.html,Montreal,2021-08-14
Paula Badosa,R32,Aryna Sabalenka,W,20210818-W-Cincinnati-R32-Aryna_Sabalenka-Paula_Badosa.html,Cincinnati,2021-08-18
Nina Stojanovic,R128,Aryna Sabalenka,W,20210830-W-US_Open-R128-Aryna_Sabalenka-Nina_Stojanovic.html,US Open,2021-08-30
Aryna Sabalenka,R64,Tamara Zidansek,W,20210901-W-US_Open-R64-Tamara_Zidansek-Aryna_Sabalenka.html,US Open,2021-09-01
Danielle Collins,R32,Aryna Sabalenka,W,20210903-W-US_Open-R32-Aryna_Sabalenka-Danielle_Collins.html,US Open,2021-09-03
Elise Mertens,R16,Aryna Sabalenka,W,20210905-W-US_Open-R16-Aryna_Sabalenka-Elise_Mertens.html,US Open,2021-09-05
