rank,player,country,points,wins,losses,win_pct,titles,elo
288,Peter Pokorny,AUT,—,1,1,50.0%,0,"1,429"
288,Trevor Little,AUS,—,1,1,50.0%,0,"1,492"
288,Will Coghlan,AUS,—,1,1,50.0%,0,"1,451"
288,Attila Korpas,GER,—,0,1,0.0%,0,"1,505"
288,Greg Braun,AUS,—,0,2,0.0%,0,"1,372"
288,Hubertus Hoyt,USA,—,0,2,0.0%,0,"1,486"
288,Humphrey Hose,VEN,—,0,2,0.0%,0,"1,487"
288,Jan Zabrodsky,SWE,—,0,2,0.0%,0,"1,420"
288,John Trickey,AUS,—,0,3,0.0%,0,"1,393"
288,Kenneth McMillan,USA,—,0,2,0.0%,0,"1,406"
288,Pierre Barthes,FRA,—,0,2,0.0%,0,"1,593"
